Date,Start,Finish,Total,Grand Total
2/13/2017,15:00,16:00,1:00:00,
2/14/2017,15:00,16:00,1:00:00,
2/15/2017,15:00,15:00,0:00:00,
2/16/2017,15:00,15:00,0:00:00,
2/17/2017,15:00,15:00,0:00:00,
2/18/2017,15:00,15:00,0:00:00,
2/19/2017,15:00,15:00,0:00:00,
2/20/2017,15:00,15:00,0:00:00,
2/21/2017,15:00,19:00,4:00:00,
2/22/2017,15:00,15:00,0:00:00,
2/23/2017,15:00,15:00,0:00:00,
2/24/2017,15:00,15:00,0:00:00,
2/25/2017,15:00,15:00,0:00:00,
2/26/2017,15:00,15:00,0:00:00,
2/27/2017,15:00,17:00,2:00:00,
2/28/2017,15:00,17:00,2:00:00,
3/1/2017,16:07,19:34,3:27:00,
3/2/2017,15:00,17:00,2:00:00,
3/3/2017,11:33,13:42,2:09:00,
3/4/2017,15:00,17:00,2:00:00,
3/5/2017,15:00,17:00,2:00:00,
3/6/2017,15:00,17:00,2:00:00,
3/7/2017,11:00,15:00,4:00:00,
3/8/2017,15:00,17:58,2:58:00,
3/9/2017,15:00,17:00,2:00:00,
3/10/2017,10:55,12:00,1:05:00,
3/11/2017,10:52,17:30,6:38:00,
3/12/2017,11:41,11:41,0:00:00,
3/13/2017,14:15,14:32,0:17:00,
3/14/2017,12:56,15:44,2:48:00,
3/15/2017,0:00,0:00,0:00:00,
3/16/2017,0:00,0:00,0:00:00,
3/17/2017,15:35,19:26,3:51:00,
3/18/2017,1:12,3:59,2:47:00,
3/18/2017,16:01,19:20,3:19:00,
3/19/2017,0:00,0:00,0:00:00,
3/20/2017,0:00,0:00,0:00:00,
3/21/2017,13:17,13:22,0:05:00,
3/22/2017,12:25,18:03,5:38:00,
3/23/2017,17:22,17:55,0:33:00,
3/24/2017,18:08,19:23,1:15:00,
3/25/2017,11:44,16:27,4:43:00,
3/26/2017,12:15,18:30,6:15:00,
3/27/2017,12:20,16:46,4:26:00,
3/28/2017,14:28,23:54,9:26:00,
3/29/2017,0:01,1:07,1:06:00,
3/29/2017,11:47,15:09,3:22:00,
3/30/2017,14:34,17:30,2:56:00,
3/30/2017,20:10,23:59,3:49:00,
3/31/2017,0,0:25,0:25:00,
4/1/2017,13:40,15:47,2:07:00,
4/2/2017,13:43,17:05,3:22:00,
4/3/2017,12:07,12:11,0:04:00,
4/4/2017,15:48,18:12,2:24:00,
4/5/2017,14:22,17:18,2:56:00,
4/6/2017,0,0,0:00:00,
4/7/2017,18:58,19:06,0:08:00,
4/8/2017,11:47,19:33,7:46:00,
4/8/2017,0:44,1:18,0:34:00,
4/9/2017,12:25,17:14,4:49:00,
4/10/2017,15:24,18:27,3:03:00,
4/11/2017,15:12,16:32,1:20:00,
4/12/2017,14:17,14:45,0:28:00,
4/13/2017,15:31,15:38,0:07:00,
4/14/2017,17:33,18:54,1:21:00,
4/14/2017,22:37,23:16,0:39:00,
4/15/2017,0:00,0:00,0:00:00,
4/16/2017,0:00,0:00,0:00:00,
4/17/2017,15:42,15:43,0:01:00,
4/18/2017,12:30,12:31,0:01:00,
4/19/2017,13:56,13:56,0:00:00,
4/20/2017,0:00,0:00,0:00:00,
4/21/2017,0:00,0:00,0:00:00,
4/22/2017,0:00,0:00,0:00:00,
4/23/2017,0:00,0:00,0:00:00,
4/24/2017,0:00,0:00,0:00:00,
4/25/2017,0:00,0:00,0:00:00,
4/26/2017,13:17,16:22,3:05:00,
4/27/2017,0:00,0:00,0:00:00,
4/28/2017,0:00,0:00,0:00:00,
4/29/2017,0:00,0:00,0:00:00,
4/30/2017,0:00,0:00,0:00:00,
5/1/2017,0:00,0:00,0:00:00,
5/2/2017,0:00,0:00,0:00:00,
5/3/2017,0:00,0:00,0:00:00,
5/4/2017,15:11,16:37,1:26:00,
